date,kospi_close,up20_after_predicted,down20_after_predicted,feer_greed_value
2023-12-01,334.8,1.1265797540545464,26.261180639266968,40.814066085947495
2023-12-04,336.14,1.1407218873500824,18.94703060388565,47.47235924026158
2023-12-05,332.85,1.5740951523184776,18.3589369058609,48.400437205838
2023-12-06,333.45,1.0999463498592377,18.862569332122803,47.51205094724452
2023-12-07,332.67,1.2204349040985107,23.39508682489395,43.50339771646503
2023-12-08,336.6,0.9437894448637962,40.80890417098999,27.4303093785244
2023-12-11,337.93,0.8764888159930706,29.633289575576782,37.52303072982875
2023-12-12,339.77,1.2619969435036182,31.07963502407074,36.55918189444313
2023-12-13,336.68,2.687094546854496,28.224876523017883,40.44774637106195
2023-12-14,341.33,1.38948829844594,27.543237805366516,39.88809450417127
2023-12-15,343.99,0.9695469401776791,28.264692425727844,38.85105219527501
2023-12-18,343.5,0.7636419031769037,25.59489607810974,41.08967891332238
2023-12-19,343.95,1.3723661191761494,29.96862828731537,37.66889186361199
2023-12-20,350.11,0.7154075894504786,26.59839391708374,40.13410279390551
2023-12-21,348.78,1.2835157103836536,34.077879786491394,33.8546070955435
2023-12-22,349.15,1.469230279326439,18.101011216640472,48.53950423010912
2023-12-26,350.43,1.258788350969553,12.099208682775497,53.80138186629799
2023-12-27,352.46,0.978377927094698,15.032224357128143,50.88174759145637
2023-12-28,357.99,1.2067727744579315,34.50600504875183,33.395897154613195
2024-01-02,360.55,0.9873947128653526,33.82112681865692,33.81883834117218
2024-01-03,351.2,2.0133858546614647,23.03234338760376,44.55343118319991
2024-01-04,348.07,2.369598299264908,29.864975810050964,38.669126653523136
2024-01-05,347.22,1.3580809347331524,31.05539083480835,36.66850890843213
2024-01-08,345.58,1.1415169574320316,25.83763599395752,41.21245913909051
2024-01-09,343.81,1.1120612733066082,26.396682858467102,40.67776123121761
2024-01-10,340.66,2.134367823600769,19.943392276763916,47.469891793524994
2024-01-11,340.28,2.4017708376049995,33.61823260784149,35.28824755085519
2024-01-12,338.22,1.784582994878292,21.130338311195374,46.07365862614455
2024-01-15,339.24,1.7034614458680153,22.567595541477203,44.69409967855939
2024-01-16,334.73,1.7167937010526657,38.66707980632782,30.078645853858376
2024-01-17,326.11,2.3232363164424896,20.425404608249664,47.20354902645908
2024-01-18,327.13,1.9225189462304115,25.66332519054413,42.08043116834446
2024-01-19,332.99,2.527310512959957,20.639994740486145,47.19399452437354
2024-01-22,332.63,1.4959201216697693,15.904386341571808,50.559549395080055
2024-01-23,334.97,4.11103293299675,18.362431228160858,50.702257172550354
2024-01-24,333.27,4.765472933650017,20.919376611709595,48.97369091517285
2024-01-25,333.8,6.631141901016235,22.74942398071289,49.00605576076939
2024-01-26,334.21,6.786008179187775,37.38445341587067,35.84976108769277
2024-01-29,337.84,3.356589376926422,17.220468819141388,51.054346590708036
2024-01-30,337.48,3.030710108578205,14.208371937274933,53.49497312898041
2024-01-31,336.24,3.83727066218853,17.312858998775482,51.40713765729986
2024-02-01,342.41,2.518206089735031,18.91676038503647,48.75140781121272
2024-02-02,353.43,2.4177243933081627,40.970227122306824,28.62291405006041
